Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,17.453800,17.453800,17.053801,17.169201,16.572102,1794260
2018-04-03,17.269199,17.292299,16.984600,17.169201,16.572102,1477190
2018-04-04,16.869200,17.407700,16.815399,17.176901,16.579529,2360410
2018-04-05,17.530800,17.530800,16.961500,17.107700,16.512732,1966770
2018-04-06,17.069201,17.192301,16.661501,16.738501,16.156380,2686190
2018-04-09,16.799999,16.884600,16.369200,16.384600,15.814783,2011620
2018-04-10,16.507700,16.684601,16.376900,16.538500,15.963331,1948570
2018-04-11,16.430799,16.884600,16.430799,16.623100,16.044991,1777880
2018-04-12,16.807699,16.861500,16.438499,16.815399,16.230600,2148380
2018-04-13,16.730801,17.069201,16.546200,16.961500,16.371620,2572050
2018-04-16,16.853800,17.215401,16.769199,17.038500,16.445944,1724190
2018-04-17,16.884600,17.253799,16.853800,17.115400,16.520166,1182480
2018-04-18,16.930799,17.307699,16.746201,17.069201,16.475574,3397420
2018-04-19,17.000000,17.384600,16.876900,17.261499,16.661188,2161640
2018-04-20,17.153799,17.769199,17.146200,17.623100,17.010214,2094300
2018-04-23,17.692301,17.830799,17.446199,17.553801,16.943321,1677390
2018-04-24,17.615400,17.853800,17.361500,17.469200,16.861664,2105571
2018-04-25,17.490000,17.680000,17.010000,17.100000,16.505302,3190600
2018-04-26,17.309999,17.980000,17.260000,17.920000,17.296785,3751700
2018-04-27,18.049999,18.129999,17.730000,17.930000,17.306438,1750200
2018-04-30,17.950001,17.950001,17.620001,17.780001,17.161655,1580800
2018-05-02,17.790001,18.389999,17.360001,18.010000,17.383654,3488500
2018-05-03,17.920000,18.020000,17.600000,17.600000,16.987915,2298000
2018-05-04,17.540001,17.610001,17.190001,17.200001,16.601828,1604600
2018-05-07,17.299999,17.440001,16.830000,16.920000,16.331568,1806700
2018-05-08,17.049999,17.120001,16.450001,16.860001,16.273649,4815600
2018-05-09,16.980000,17.170000,16.580000,16.940001,16.350866,2980000
2018-05-10,17.010000,17.790001,16.980000,17.750000,17.132700,2839500
2018-05-11,17.580000,18.100000,17.500000,17.790001,17.171310,1561300
2018-05-14,17.790001,18.280001,17.629999,17.889999,17.267832,2349000
2018-05-15,17.700001,18.799999,17.700001,18.600000,17.953138,3645200
2018-05-16,18.410000,19.180000,18.360001,19.080000,18.416445,1916200
2018-05-17,19.049999,19.059999,18.440001,18.690001,18.040005,3015400
2018-05-18,18.420000,18.680000,18.090000,18.299999,17.663570,3563000
2018-05-21,18.410000,18.719999,17.900000,17.930000,17.306438,3011500
2018-05-22,18.120001,18.459999,17.889999,18.040001,17.412615,2876100
2018-05-23,18.030001,18.309999,17.950001,18.020000,17.393309,2611600
2018-05-24,18.240000,18.850000,18.049999,18.820000,18.165483,3520500
2018-05-25,18.740000,19.430000,18.510000,18.700001,18.049660,3154200
2018-05-28,18.450001,18.830000,17.629999,17.680000,17.065132,2684900
2018-05-29,17.850000,18.370001,17.370001,17.370001,16.765913,6765400
2018-05-30,17.469999,17.730000,17.090000,17.180000,16.582521,13440900
2018-06-01,17.459999,18.000000,16.790001,17.049999,16.457039,3954100
2018-06-04,17.219999,17.340000,16.740000,16.799999,16.215734,3639900
2018-06-05,16.900000,17.010000,16.280001,16.400000,15.829648,4038600
2018-06-06,16.299999,17.030001,16.260000,17.000000,16.408783,6949400
2018-06-07,17.000000,17.260000,15.870000,16.430000,15.858605,4502300
2018-06-08,16.580000,16.740000,15.890000,16.500000,15.926170,4163300
2018-06-11,16.549999,16.620001,15.970000,16.070000,15.511125,2382100
2018-06-12,16.120001,16.280001,15.830000,15.890000,15.337385,2522400
2018-06-13,15.950000,16.080000,15.460000,15.610000,15.067122,3535100
2018-06-14,15.460000,15.700000,15.120000,15.250000,14.719641,3904200
2018-06-15,15.150000,15.780000,15.120000,15.780000,15.231209,7386800
2018-06-18,15.590000,15.680000,15.250000,15.270000,14.738946,2766300
2018-06-19,15.250000,15.660000,15.070000,15.210000,14.681034,3485600
2018-06-20,15.420000,15.440000,15.130000,15.400000,14.864427,2947900
2018-06-21,15.410000,15.630000,15.270000,15.470000,14.931992,3170000
2018-06-22,15.510000,15.590000,15.320000,15.440000,14.903036,2971100
2018-06-25,15.500000,16.040001,15.500000,15.820000,15.269819,2440900
2018-06-26,16.020000,16.049999,15.630000,15.960000,15.404950,2006500
2018-06-27,15.990000,16.020000,15.520000,15.720000,15.173298,2490000
2018-06-28,15.760000,16.160000,15.550000,16.110001,15.549734,2368600
2018-06-29,16.190001,16.430000,16.110001,16.250000,15.684865,3207700
2018-07-02,16.299999,16.299999,15.660000,15.660000,15.151913,1610300
2018-07-03,15.750000,16.030001,15.750000,16.000000,15.480882,2649100
2018-07-04,16.219999,16.219999,15.900000,15.900000,15.384123,524500
2018-07-05,15.800000,16.129999,15.620000,15.980000,15.461529,2780500
2018-07-06,15.850000,16.440001,15.850000,16.340000,15.809849,1598600
2018-07-10,16.400000,17.000000,16.320000,17.000000,16.448435,3385500
2018-07-11,16.840000,17.010000,16.760000,16.809999,16.264599,3241900
2018-07-12,16.799999,17.080000,16.700001,17.049999,16.496813,2616700
2018-07-13,16.930000,17.150000,16.760000,17.150000,16.593569,1635600
2018-07-16,17.120001,17.530001,17.080000,17.440001,16.874161,2752900
2018-07-17,17.440001,18.389999,17.440001,18.190001,17.599825,4847800
2018-07-18,18.400000,19.200001,18.340000,18.469999,17.870739,4378500
2018-07-19,18.400000,18.900000,18.110001,18.780001,18.170685,2579500
2018-07-20,18.950001,19.100000,18.450001,18.650000,18.044903,4073900
2018-07-23,18.500000,18.980000,18.330000,18.840000,18.309626,2135900
2018-07-24,19.000000,19.360001,18.809999,19.000000,18.465126,3568800
2018-07-25,18.930000,19.180000,18.900000,18.900000,18.367939,2694100
2018-07-26,18.799999,18.930000,18.230000,18.570000,18.047230,3341800
2018-07-27,18.740000,18.770000,18.379999,18.450001,17.930607,2233400
2018-07-30,18.680000,18.690001,18.330000,18.600000,18.076384,6719200
2018-07-31,18.459999,18.740000,18.370001,18.510000,17.988918,2469500
2018-08-01,18.500000,18.709999,18.309999,18.309999,17.794548,1940200
2018-08-02,18.270000,18.500000,17.959999,17.959999,17.454399,2408300
2018-08-03,18.040001,18.340000,17.870001,18.129999,17.619616,2935500
2018-08-06,18.139999,18.549999,18.090000,18.250000,17.736235,2154600
2018-08-07,18.299999,18.700001,18.260000,18.530001,18.008354,5114500
2018-08-08,18.730000,18.730000,17.920000,18.129999,17.619616,4015600
2018-08-09,18.049999,18.290001,17.709999,18.059999,17.551588,3308700
2018-08-10,17.820000,18.049999,17.260000,17.330000,16.842133,2693200
2018-08-13,17.209999,17.780001,17.129999,17.629999,17.133692,2098700
2018-08-14,17.870001,18.090000,17.480000,17.570000,17.075377,2584700
2018-08-15,17.360001,17.840000,17.309999,17.629999,17.133692,3747800
2018-08-16,17.650000,17.840000,17.469999,17.700001,17.201719,2215900
2018-08-17,17.549999,17.730000,17.309999,17.500000,17.007353,1838700
2018-08-20,17.350000,17.549999,17.209999,17.440001,16.949041,1825900
2018-08-21,17.400000,17.780001,17.400000,17.500000,17.007353,2502800
2018-08-22,17.410000,18.080000,17.410000,17.870001,17.366934,2029400
2018-08-23,17.980000,18.160000,17.709999,17.879999,17.376657,3011800
2018-08-24,18.040001,18.129999,17.570000,17.680000,17.182281,1590600
2018-08-27,17.920000,18.120001,17.799999,18.000000,17.493277,1277500
2018-08-28,18.000000,18.500000,17.840000,18.490000,17.969482,2585500
2018-08-29,18.490000,18.790001,18.370001,18.750000,18.222164,2325400
2018-08-30,18.600000,18.889999,18.450001,18.840000,18.309626,2717900
2018-08-31,18.660000,19.139999,18.660000,19.139999,18.601183,3824800
2018-09-03,19.040001,19.090000,18.590000,18.799999,18.270756,1869900
2018-09-04,18.879999,18.879999,18.360001,18.650000,18.124977,1884000
2018-09-05,18.469999,18.700001,18.350000,18.570000,18.047230,1637800
2018-09-06,18.650000,19.840000,18.570000,19.490000,18.941328,4018700
2018-09-10,19.610001,19.870001,19.430000,19.549999,18.999638,2288700
2018-09-11,19.170000,19.570000,19.010000,19.100000,18.562309,1899200
2018-09-12,19.309999,19.320000,18.780001,18.799999,18.270756,4167200
2018-09-13,19.020000,19.030001,18.370001,18.740000,18.212444,2345400
2018-09-14,18.719999,19.270000,18.670000,19.200001,18.659494,2942000
2018-09-17,19.190001,19.490000,19.000000,19.299999,18.756678,2150200
2018-09-18,19.080000,19.549999,19.080000,19.150000,18.610897,2254400
2018-09-19,19.040001,19.209999,18.830000,18.990000,18.455404,1690600
2018-09-20,19.129999,19.320000,18.910000,19.090000,18.552588,1806600
2018-09-21,19.270000,19.510000,19.139999,19.450001,18.902454,3468900
2018-09-24,19.400000,19.690001,19.219999,19.290001,18.784906,1632500
2018-09-25,19.049999,19.580000,19.000000,19.510000,18.999147,1753800
2018-09-26,19.500000,20.000000,19.430000,19.680000,19.164700,2366800
2018-09-27,19.790001,20.000000,19.700001,19.900000,19.378935,2137900
2018-09-28,19.660000,19.910000,19.559999,19.750000,19.232864,2015800
2018-10-01,19.799999,19.799999,19.420000,19.490000,18.979673,1662900
2018-10-02,19.639999,20.000000,19.639999,19.740000,19.223127,2349400
2018-10-03,20.010000,20.250000,19.010000,19.430000,18.921246,4568600
2018-10-04,19.549999,19.709999,18.959999,19.110001,18.609619,2259500
2018-10-05,19.389999,19.680000,19.030001,19.100000,18.599884,2075000
2018-10-08,19.850000,19.850000,18.730000,19.049999,18.551193,7241100
2018-10-09,19.160000,19.190001,18.290001,18.299999,17.820826,4810500
2018-10-10,18.299999,18.660000,18.100000,18.400000,17.918211,2280700
2018-10-11,18.570000,18.719999,18.309999,18.430000,17.947430,1953200
2018-10-15,18.670000,18.670000,18.110001,18.299999,17.820826,1873200
2018-10-16,18.350000,18.900000,18.309999,18.750000,18.259050,3411900
2018-10-17,18.809999,19.190001,18.650000,18.650000,18.161667,3277700
2018-10-18,18.690001,18.700001,18.270000,18.410000,17.927950,2858200
2018-10-19,18.580000,18.700001,18.389999,18.600000,18.112976,2762700
2018-10-22,18.770000,18.840000,18.500000,18.650000,18.161667,1946200
2018-10-23,18.400000,19.389999,18.400000,19.200001,18.697268,3869300
2018-10-24,19.379999,19.490000,18.940001,19.350000,18.843342,5398000
2018-10-25,19.440001,19.719999,19.010000,19.010000,18.512239,6514100
2018-10-26,19.090000,19.090000,18.070000,18.080000,17.606594,7775300
2018-10-29,17.559999,17.860001,17.230000,17.500000,17.041782,6793000
2018-10-30,17.740000,18.299999,17.620001,18.299999,17.820826,5096700
2018-10-31,18.400000,18.639999,17.910000,18.000000,17.528688,5085100
2018-11-01,18.020000,18.389999,17.760000,18.200001,17.723448,4339600
2018-11-05,18.200001,18.990000,18.200001,18.709999,18.220097,3644800
2018-11-06,18.510000,19.059999,18.420000,18.700001,18.210356,3288100
2018-11-07,18.750000,19.139999,18.750000,18.860001,18.366167,2948100
2018-11-08,18.900000,19.250000,18.490000,18.600000,18.112976,4102500
2018-11-09,18.650000,18.760000,18.209999,18.600000,18.112976,2893100
2018-11-12,18.480000,18.889999,18.450001,18.450001,17.966906,1634900
2018-11-13,18.650000,18.719999,18.070000,18.129999,17.655281,3071700
2018-11-14,18.200001,18.540001,18.020000,18.420000,17.937689,2998600
2018-11-16,18.450001,18.850000,18.350000,18.549999,18.064283,4550200
2018-11-19,18.549999,18.549999,18.059999,18.200001,17.723448,2737600
2018-11-21,18.250000,18.270000,17.870001,17.959999,17.489731,3085300
2018-11-22,17.959999,18.020000,17.620001,17.620001,17.158636,1492100
2018-11-23,17.650000,17.930000,17.530001,17.680000,17.217064,2333500
2018-11-26,17.780001,17.959999,17.459999,17.740000,17.275494,3892400
2018-11-27,17.879999,18.100000,17.620001,18.049999,17.577379,3047900
2018-11-28,18.020000,18.150000,17.799999,18.139999,17.665018,1927100
2018-11-29,18.120001,18.400000,17.910000,18.209999,17.733187,2880500
2018-11-30,18.209999,18.240000,17.709999,17.820000,17.353397,4010700
2018-12-03,17.980000,18.100000,17.870001,17.959999,17.489731,3629600
2018-12-04,18.000000,18.320000,17.920000,18.040001,17.567642,3661600
2018-12-05,18.160000,18.160000,17.770000,17.850000,17.382616,1522500
2018-12-06,17.770000,17.920000,17.650000,17.830000,17.363142,2821800
2018-12-07,17.910000,18.020000,17.629999,17.690001,17.226803,2959400
2018-12-10,17.740000,17.889999,17.209999,17.209999,16.759373,2488700
